	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
8438	У твоего порога	2006	R	96	['Drama', 'Sci-Fi', 'Thriller']	6.1	14098	57	64802
8439	Защитники	2017	12+	89	['Action', 'Adventure', 'Comedy']	4.0	14094	0	0
8440	Девушка на мосту	1999	R	90	['Comedy', 'Drama', 'Romance']	7.5	14091	75	1708496
8441	5 днeй в августе	2011	R	113	['Action', 'Drama', 'War']	5.6	14089	31	17149
8442	Замок к Рождеству	2021	98 min	98	['Adventure', 'Comedy', 'Drama']	5.5	14084	53	0
8443	Кевин и Перри уделывают всех	2000	18+	82	['Comedy', 'Music']	5.6	14082	0	0
8444	Давай! Давай!	2000	16+	88	['Comedy', 'Drama', 'Romance']	6.8	14081	0	0
8445	Двойная рокировка 3	2003	118 min	118	['Action', 'Crime', 'Drama']	6.8	14081	0	0
8446	Уотергейт. Крушение Белого дома	2017	PG-13	103	['Biography', 'Drama', 'History']	6.4	14078	49	768946
8447	Absence of Malice	1981	116 min	116	['Drama', 'Romance', 'Thriller']	6.9	14074	64	40716963
8448	Небесная леди	2021	R	141	['Action', 'Drama', 'History']	5.8	14058	41	0
8449	Красная точка	2021	86 min	86	['Drama', 'Horror', 'Thriller']	5.5	14053	0	0
8450	В бегах	2006	157 min	157	['Comedy', 'Drama', 'Mystery']	6.6	14040	0	646604
8451	Уик-энд у Берни 2	1993	PG	97	['Adventure', 'Comedy', 'Fantasy']	4.8	14033	16	12741891
8452	Железобетон	2006	R	111	['Animation', 'Action', 'Adventure']	7.5	14032	65	0
8453	Нападение Гхази	2017	116 min	116	['Action', 'Thriller', 'War']	7.5	14028	0	0
8454	Лимонад	2015	110 min	110	['Comedy', 'Drama']	7.4	14028	0	0
8455	Вернуть отправителю	2015	92 min	92	['Drama', 'Thriller']	5.1	14027	23	0
