title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Dead Men Don't Wear Plaid,1982,88,"['Comedy', 'Crime', 'Mystery']",6.8,22709,16+,67,18197170
День зверя,1995,103,"['Action', 'Comedy', 'Crime']",7.3,22707,R,0,15324
В ритме ча-ча-ча,2022,107,"['Comedy', 'Drama']",7.3,22704,R,69,0
Le procès,1962,119,"['Drama', 'Mystery', 'Thriller']",7.6,22685,NaN,0,0
L'uccello dalle piume di cristallo,1970,96,"['Horror', 'Mystery', 'Thriller']",7.1,22681,18+,0,422490
Скайлайн 2,2017,106,"['Action', 'Adventure', 'Sci-Fi']",5.3,22678,18+,46,0
Привидение,2018,97,"['Drama', 'Fantasy', 'Romance']",6.4,22676,PG-13,52,6102076
Крриш,2006,185,"['Action', 'Adventure', 'Sci-Fi']",6.4,22675,NaN,68,0
Глушь,2014,92,"['Adventure', 'Drama', 'Horror']",6.0,22666,R,62,0
The Killers,1946,103,"['Crime', 'Drama', 'Film-Noir']",7.7,22651,NaN,0,0
Slacker,1990,97,"['Comedy', 'Drama']",7.0,22650,R,69,1228108
Виктор/Виктория,1982,134,"['Comedy', 'Music', 'Romance']",7.6,22639,NaN,84,21933614
Лучшие из молодых,2003,366,"['Drama', 'Romance']",8.5,22595,R,89,274024
Гадкий,2013,128,"['Crime', 'Drama', 'Mystery']",7.9,22591,NaN,0,0
Амнезия,2004,97,"['Crime', 'Drama', 'Mystery']",5.3,22570,16+,26,25195050
Свисток,2019,179,"['Action', 'Drama', 'Sport']",6.7,22569,NaN,0,0
Гора,2012,90,"['Adventure', 'Drama', 'Thriller']",7.5,22563,NaN,0,0
Прах Анджелы,1999,145,"['Biography', 'Drama']",7.3,22560,R,54,13038660
Дом с паранормальными явлениями 2,2014,86,"['Comedy', 'Fantasy', 'Horror']",4.7,22559,18+,17,17329486
Играем рок!!,2008,145,"['Drama', 'Music']",7.7,22541,NaN,0,0
Любовник,1992,115,"['Biography', 'Drama', 'Romance']",6.8,22539,R,59,4899194
The Lady Eve,1941,94,"['Comedy', 'Romance']",7.7,22532,NaN,96,0
Bидимoсть гнева,2005,118,"['Comedy', 'Drama']",6.8,22530,R,63,18761993
Отрицание,2016,109,"['Biography', 'Drama']",6.8,22525,PG-13,63,4072226
Попали!,2009,89,"['Comedy', 'Horror', 'Sci-Fi']",6.0,22519,NaN,0,0
Реальные девчонки,2006,98,"['Comedy', 'Family', 'Romance']",3.9,22514,PG,17,11441751
Экспресс: История легенды спорта Эрни Дэвиса,2008,130,"['Biography', 'Drama', 'Sport']",7.2,22512,PG,58,9589875
Hairspray,1988,92,"['Comedy', 'Drama', 'Family']",7.0,22511,NaN,77,6671108
Соммерсби,1993,114,"['Drama', 'Mystery', 'Romance']",6.2,22510,PG-13,0,50081992
Пятьдесят оттенков чёрного,2016,92,['Comedy'],3.5,22508,18+,28,11686940
Curly Sue,1991,101,"['Comedy', 'Drama', 'Family']",5.8,22504,12+,0,33691313
Двойная петля,2022,139,"['Action', 'Drama', 'War']",6.6,22490,16+,66,0
Кингсглейв: Последняя фантазия XV,2016,110,"['Animation', 'Action', 'Adventure']",6.7,22490,12+,35,233569
Молодой Шерлок Холмс,1985,109,"['Adventure', 'Fantasy', 'Mystery']",6.8,22488,NaN,65,19739000
Голем,2016,109,"['Crime', 'Mystery', 'Thriller']",6.3,22483,18+,63,0
Последствия,2019,108,"['Drama', 'Romance', 'War']",6.3,22481,18+,43,1618497
Глубокий овраг,2019,84,"['Crime', 'Drama']",2.5,22477,R,0,0
37°2 le matin,1986,119,"['Drama', 'Romance']",7.3,22476,NaN,56,2003822
Fletch Lives,1989,95,"['Comedy', 'Crime', 'Mystery']",6.1,22475,16+,40,35150960
Revenge of the Pink Panther,1978,99,"['Comedy', 'Crime', 'Mystery']",6.6,22467,NaN,65,0
Солнце Ацтеков,2000,99,"['Adventure', 'Comedy', 'Romance']",7.7,22465,16+,71,0
Звук моего голоса,2011,87,"['Drama', 'Mystery', 'Sci-Fi']",6.6,22455,R,67,405614
