title,year,country,director,actor_1,actor_2,ratingKP
Обнаженное оружие,2002,Гонконг,Тони Чин,Аня,Марит Торезен,6.886
Старомодная комедия,1978,СССР,Эра Савельева,Алиса Фрейндлих,Игорь Владимиров,8.124
Язык нежности,1983,США,Джеймс Л. Брукс,Ширли Маклейн,Дебра Уингер,7.35
Путешествие Металлиста,2005,Канада,Сэм Данн,Том Арайа,Гэвин Бадделей,7.934
Тайный Санта,2022,Россия,Александр Бабаев,Роман Курцын,Зоя Бербер,5.69
Танатоморфоз,2012,Канада,Эрик Фалардо,Кэйден Роуз,Давид Тузиньян,3.615
Зеро 2,2010,Литва,Эмилис Веливис,Рамунас Рудокас,Витаутас Шапранаускас,7.161
Че: Часть первая. Аргентинец,2008,Франция,Стивен Содерберг,Бенисио Дель Торо,Демиан Бичир,6.826
Кукольник,2004,Корея,Чон Ён-ги,Ким Ю-ми,Им Ын-гён,6.137
Говард-утка,1986,США,Уиллард Хайк,Лиа Томпсон,Джеффри Джонс,5.474
Жестокие игры 3,2004,США,Скотт Зил,Керр Смит,Кристина Анапау,5.281
Под планетой обезьян,1970,США,Тед Пост,Джеймс Франсискус,Ким Хантер,6.595
Тень,1971,СССР,Надежда Кошеверова,Олег Даль,Владимир Этуш,7.916
Лорд Дракон,1981,Гонконг,Джеки Чан,Джеки Чан,Майкл Чан,7.125
Ингрид едет на Запад,2017,США,Мэттью Спайсер,Обри Плаза,Элизабет Олсен,6.508
Побег,1978,Франция,Жерар Ури,Пьер Ришар,Виктор Лану,7.685
Увлечение,1993,США,Алан Шапиро,Кэри Элвес,Алисия Сильверстоун,6.705
Остров,2000,Корея,Ким Ки Дук,Ким Ю-сок,Со Джон,7.137
Сказки юга,2006,Франция,Ричард Келли,Сара Мишель Геллар,Дуэйн Джонсон,5.424
Француз,2019,Россия,Андрей Смирнов,Антон Риваль,Евгения Образцова,6.879
Раз на раз не приходится,1987,СССР,Ара Габриелян,Армен Джигарханян,Леонид Куравлёв,7.327
Связанные насмерть,1988,Канада,Дэвид Кроненберг,Джереми Айронс,Женевьев Бюжо,7.066
Чудаки: Часть вторая,2004,США,Джефф Треймейн,Джонни Ноксвил,Джейсон Акунья,7.635
Черный или белый,1991,США,Джон Лэндис,Майкл Джексон,Си Томас Хауэлл,7.97
Изгоняющий дьявола: Абаддон,2019,США,Пирри Реджинальд Тео,Роберт Казински,Кэйден Драгомер,4.604
Служанка,2010,Корея,Лим Сан-су,Чон До-ён,Ли Джон-джэ,6.351
Шампанского!,2022,Франция,Николя Ванье,Эльза Зильберштейн,Франсуа-Ксавье Демезон,6.32
Чайка,2018,США,Майкл Майер,Аннетт Бенинг,Кори Столл,6.246
Охотник за разумом. Схватка,2021,США,Эмбер Сили,Элайджа Вуд,Люк Кирби,6.066
Морис,1987,Великобритания,Джеймс Айвори,Джеймс Уилби,Хью Грант,7.388
Антон тут рядом,2012,Россия,Любовь Аркус,Антон Харитонов,Любовь Аркус,7.732
Болевой порог,2019,Россия,Андрей Симонов,Арина Постникова,Роман Курцын,5.179
Большие каникулы,1967,Франция,Жан Жиро,Луи де Фюнес,Ферди Мэйн,7.756
Один шанс на двоих,1998,Франция,Патрис Леконт,Жан-Поль Бельмондо,Ален Делон,6.973
Инцидент Синдзюку,2009,Гонконг,Дерек И,Джеки Чан,Наото Такэнака,7.306
Красота по-английски,2004,Великобритания,Ричард Эйр,Билли Крудап,Клэр Дэйнс,7.617
Гонка со временем,2021,США,Филлип Нойс,Наоми Уоттс,Колтон Гоббо,5.586
Раны,2019,США,Бабак Анвари,Арми Хаммер,Зази Битц,5.048
"Безумный день, или Женитьба Фигаро",1974,СССР,Владимир Храмов,Андрей Миронов,Александр Ширвиндт,8.124
"Взрослая дочь, или Тест на...",2010,Россия,Мгер Мкртчян,Дмитрий Марьянов,Ольга Николич,6.282
Могучие утята,1992,США,Стивен Херек,Эмилио Эстевес,Джосс Экленд,7.206
Подруги поневоле,2019,Германия,Каролина Херфурт,Каролина Херфурт,Ханна Херцшпрунг,6.458
Город лжи,2018,Великобритания,Брэд Фурман,Джонни Депп,Форест Уитакер,6.09
Самый лучший папа,2009,США,Бобкэт Голдтуэйт,Робин Уильямс,Дэрил Сабара,6.604
Александр Невский,2022,Россия,Максим Беспалый,Сергей Уусталу,Андрей Бурков,8.387
Секретный эксперимент,2012,США,Блэр Эриксон,Катя Винтер,Майкл МакМиллиан,4.964
Туве,2020,Финляндия,Зайда Бергрот,Альма Пёвсти,Криста Косонен,6.905
Домохозяйка,1992,США,Фрэнк Оз,Стив Мартин,Голди Хоун,7.161
Веб-камера,2018,США,Дэниел Голдхабер,Мадлен Брюэр,Патрик Дарро,5.718
Хороший доктор,2011,США,Лэнс Дэйли,Орландо Блум,Райли Кио,5.844
Питомец,2016,Испания,Карлес Торренс,Доминик Монахэн,Ксения Соло,5.568
Муха 2,1989,США,Крис Уолас,Эрик Столц,Дафна Зунига,5.687
Коллекционер,1965,Великобритания,Уильям Уайлер,Теренс Стэмп,Саманта Эггар,7.225
Ценный груз,2016,Канада,Макс Адамс,Брюс Уиллис,Марк-Пол Госселаар,4.94
Карнавальная ночь 2,2006,Россия,Эльдар Рязанов,Сергей Безруков,Алёна Бабенко,2.672
Какими мы были,1973,США,Сидни Поллак,Барбра Стрейзанд,Роберт Редфорд,7.746
Дышите свободно,2022,Россия,Сергей Бодров,Евгений Ткачук,Полина Пушкарук,6.605
Кукловод,2018,Канада,Дэннис Илиадис,Ивонн Страховски,Анна Пнёвски,4.87
Триумф воли,1935,Германия,Лени Рифеншталь,Макс Аманн,...,7.856
Добро пожаловать в Рим. Новые приключения,2021,Италия,Риккардо Милани,Паола Кортеллези,Лука Арджентеро,6.363
Саша,2022,Россия,Владимир Бек,Аня Патокина,Степан Белозеров,6.254
Русская Лолита,2007,Россия,Армен Оганезов,Валерия Немченко,Марина Засимова,4.651
Туз в рукаве,1951,США,Билли Уайлдер,Кирк Дуглас,Джен Стерлинг,7.78
Плохие слова,2013,США,Джейсон Бейтман,Джейсон Бейтман,Кэтрин Хан,6.657
Увиденное и услышанное,2021,США,Шари Спрингер Берман,Аманда Сайфред,Джеймс Нортон,5.521
Испанка,2002,Франция,Седрик Клапиш,Ромен Дюрис,Жюдит Годреш,7.183
Рождественские хроники 2,2020,США,Крис Коламбус,Курт Рассел,Дэрби Кэмп,6.265
Елена в ящике,1992,США,Дженнифер Линч,Джулиан Сэндс,Шерилин Фенн,6.009
Бесконечная буря,2022,Великобритания,Малгожата Шумовска,Наоми Уоттс,Билли Хоул,5.266
Напугай меня,2020,США,Джош Рубен,Джош Рубен,Ая Кэш,5.864
Зеркало,2017,США,Тим Хантер,Николас Кейдж,Робин Танни,5.023
Дельфин Берни 2,2019,Канада,Кирк Харрис,Лола Султан,Патрик Малдун,8.155
Гайвер 2: Темный герой,1994,США,Стив Ванг,Дэвид Хэйтер,Кэти Кристоферсон,6.745
Палач,1990,СССР,Виктор Сергеев,Ирина Метлицкая,Андрей Соколов,7.301
Из темноты,2014,Испания,Йуис Килес,Джулия Стайлз,Скотт Спидман,5.202
Подстава,2021,США,Тибор Такач,Рэнди Кутюр,Кэм Жиганде,5.779
Механик,2012,Россия,Игорь Копылов,Прохор Дубравин,Татьяна Колганова,6.101
Шиzа,2004,Казахстан,Гульшад Омарова,Олжас Нусупбаев,Ольга Ландина,6.722
Храбрец,1997,США,Джонни Депп,Джонни Депп,Марлон Брандо,7.18
Ангел мести,2002,США,Мартин Бёрк,Сильвестр Сталлоне,Мэделин Стоу,6.774
Мифика: Тёмные времена,2015,США,Энн К. Блэк,Мелани Стоун,Адам Джонсон,5.538
"Джефф, живущий дома",2011,США,Джей Дюпласс,Джейсон Сигел,Эд Хелмс,6.697
Нуреев. Белый ворон,2019,Великобритания,Рэйф Файнс,Олег Ивенко,Рэйф Файнс,6.753
Пропавшая экспедиция,1975,СССР,Вениамин Дорман,Николай Гринько,Вахтанг Кикабидзе,7.624
Музыка крыш,2021,Россия,Андрей Щербинин,Илья Коробко,Татьяна Струженкова,5.859
Шепот дороги ужасов,2008,Великобритания,Марк Тондерай,Уильям Эш,Кристин Боттомли,5.719
"Утёйа, 22 июля",2018,США,Пол Гринграсс,Мария Бок,Андерс Даниелсен Лье,6.703
Я прихожу с дождём,2009,Франция,Чан Ань Хунг,Джош Хартнетт,Чан Ну Йен Кхе,6.602
Нирджа,2016,Индия,Рам Мадвани,Сонам Капур,Шабана Азми,7.681
Аферист,2018,США,Брюс Колк,Арманд Ассанте,Джастин Бальдони,6.112
Тед К. Унабомбер,2021,США,Тони Стоун,Шарлто Копли,Дрю Пауэлл,6.266
Родители лёгкого поведения,2019,США,Фред Вульф,Алек Болдуин,Сальма Хайек,4.804
Секрет моего успеха,1987,США,Херберт Росс,Майкл Дж. Фокс,Хелен Слейтер,7.364
Ты и я,2012,Италия,Бернардо Бертолуччи,Якопо Ольмо Антинори,Теа Фалько,6.486
На самом дне океана,1999,США,Улу Гросбард,Мишель Пфайффер,Трит Уильямс,7.278
Пожиратели,2011,США,Хуан Карлос Фреснадильо,Клайв Оуэн,Кэрис ван Хаутен,5.335
Частная война,2018,Великобритания,Мэтт Хейнеман,Розамунд Пайк,Джейми Дорнан,6.311
Дежурный папа: Летний лагерь,2007,США,Фред Сэвэдж,Кьюба Гудинг мл.,Локлин Манро,5.097
Масло Лоренцо,1992,США,Джордж Миллер,Ник Нолти,Сьюзен Сарандон,8.016
"Шалом, папик!",2020,США,Эмма Селигман,Рэйчел Сеннотт,Дэнни Деферрари,5.933
Население 436,2006,Канада,Мишель МакЛарен,Джереми Систо,Фред Дерст,5.906
Трафик,2020,Канада,Николас Джареки,Гари Олдман,Арми Хаммер,5.882
Неидеальные попутчики,2022,Италия,Younuts,Микела Де Росси,Алессандра Мастронарди,6.079
Мёртвая мамуля,2017,США,Эрин Ли Карр,Джипси Роуз Бланчард,Jim Arnott,7.17
История странного подростка,2009,США,Реджина Кросби,Скотт Майкл Фостер,Ноа Хигеш,7.707
Ребенок напрокат,1995,Канада,Фред Гербер,Лесли Нильсен,Кристофер Ллойд,7.091
Доктор Живаго,1965,Италия,Дэвид Лин,Омар Шариф,Джули Кристи,7.153
Флетч жив,1989,США,Майкл Ритчи,Чеви Чейз,Хэл Холбрук,7.164
Бодибилдер,2022,Россия,Андрей Грачев,Денис Семенихин,Михаил Горевой,4.936
Чужой лес,2007,США,Тони Джильо,Джош Рэндэлл,Брианна Браун,5.579
Душа тишины,2005,США,Джеми Бэббит	,Элиша Катберт,Камилла Белль,6.684
Дом на краю света,2004,США,Майкл Майер,Колин Фаррелл,Даллас Робертс,6.793
Спартак и Калашников,2002,Россия,Андрей Прошкин,Ярослав Рощин,Игнат Акрачков,7.255
Высший балл,2004,США,Брайан Роббинс,Эрика Кристенсен,Крис Эванс,6.376
Мама вышла замуж,1969,СССР,Виталий Мельников,Люсьена Овчинникова,Олег Ефремов,7.618
Феникс,2014,Германия,Кристиан Петцольд,Нина Хосс,Рональд Церфельд,6.718
Бей в кость,1999,США,Рон Шелтон,Антонио Бандерас,Вуди Харрельсон,6.741
Во власти тигра,2010,США,Карлос Брукс,Гаррет Диллахант,Бриана Эвиган,6.05
Идеальный мужчина,2015,Франция,Ян Гозлан,Пьер Нинэ,Ана Жирардо,6.913
Последний урок,2008,Франция,Жан-Поль Лильенфельд,Изабель Аджани,Дени Подалидес,7.072
Гора 2,2016,Турция,Алпер Каглар,Чаглар Эртугрул,Уфук Байрактар,5.859
Избавление,1972,США,Джон Бурмен,Джон Войт,Берт Рейнолдс,7.251
Побег,2011,Великобритания,Карл Тиббеттс,Тандиве Ньютон,Киллиан Мерфи,6.032
Неуловимые: Джекпот,2016,Россия,Артем Аксененко,Александра Бортич,Иван Шахназаров,3.27
Подбросы,2018,Россия,Иван И. Твердовский,Денис Власенко,Анна Слю,5.96
Черные праздники,2015,США,Энтони Скотт Бёрнс,Мадлен Коглан,Саванна Кенник,4.948
Напролом,1991,США,Джон Бэдэм,Майкл Дж. Фокс,Джеймс Вудс,7.22
Не дыша,2013,Корея,Чо Ён-сон,Ли Джон-сок,Со Ин-гук,7.442
Керосин,2019,Россия,Юсуп Разыков,Елена Сусанина,Валерий Маслов,6.755
Дикость,2006,Великобритания,М. Дж. Бассетт,Шон Пертуи,Алекс Рид,6.178
Токийская невеста,2014,Бельгия,Стефан Либерски,Полин Этьен,Таити Иноуэ,6.397
Пандемия,2016,США,Джон Суитц,Рэйчел Николс,Алфи Аллен,4.275
Враги,2007,Россия,Мария Можар,Юлия Ауг,Геннадий Гарбук,6.156
Подстава,2006,США,Джон Херцфелд,Пол Уокер,Лоренс Фишбёрн,6.389
Калейдоскоп любви,2012,Великобритания,Фернанду Мейреллиш,Луция Сипосова,Габриэла Марчинкова,6.398
Личное,2008,США,Дэвид Холландер,Мишель Пфайффер,Эштон Кутчер,6.786
Леопард,1963,Италия,Лукино Висконти,Берт Ланкастер,Ален Делон,7.699
Близкие друзья,2008,Индия,Тарун Мансукхани,Абхишек Баччан,Джон Абрахам,7.757
Цирк,1936,СССР,Григорий Александров,Любовь Орлова,Евгения Мельникова,7.126
Опасный человек,2009,США,Киони Ваксман,Стивен Сигал,Майк Допуд,5.104
Весь этот джаз,1979,США,Боб Фосси,Рой Шайдер,Джессика Лэнг,7.713
Спешите любить,2014,Россия,Максим Демченко,Павел Трубинер,Светлана Иванова,6.357
Презрение,1963,Франция,Жан-Люк Годар,Брижит Бардо,Мишель Пикколи,7.449
Восход тьмы,2007,США,Дэвид Л. Каннингэм,Александр Людвиг,Кристофер Экклстон,4.892
Демоны,1985,Италия,Ламберто Бава,Урбано Барберини,Наташа Хови,6.884
Золотая речка,1977,СССР,Вениамин Дорман,Александр Абдулов,Николай Горлов,7.254
Бумажный солдат,2008,Россия,Алексей Герман мл.,Мераб Нинидзе,Чулпан Хаматова,6.664
Из жизни отдыхающих,1980,СССР,Николай Губенко,Регимантас Адомайтис,Жанна Болотова,7.576
Антидурь,2007,Россия,Владимир Щегольков,Дмитрий Дюжев,Владимир Турчинский,3.991
Семь нянек,1962,СССР,Ролан Быков,Семен Морозов,Владимир Ивашов,7.675
Декамерон,2015,Италия,Паоло Тавиани,Лелло Арена,Паола Кортеллези,5.896
Звездный путь: Первый контакт,1996,США,Джонатан Фрейкс,Патрик Стюарт,Джонатан Фрейкс,7.114
Конец света,2012,Испания,Хорхе Торрегросса,Марибель Верду,Даниель Грао,5.072
Институт Роузвуд,2016,США,Джеймс Франко,Джеймс Франко,Элли Галлерани,4.898
Здравозахоронение,2007,США,Майкл Мур,Майкл Мур,Такер Албрицци,7.925
Молчание моря,2004,Франция,Пьер Бутрон,Жюли Деларме,Мишель Галабрю,7.881
Первый троллейбус,1964,СССР,Исидор Анненский,Ирина Губанова,Лев Свердлин,7.381
Два Федора,1958,СССР,Марлен Хуциев,Василий Шукшин,Николай Чурсин,7.452
Не скажу,2010,Россия,Игорь Копылов,Максим Матвеев,Елизавета Боярская,6.985
Зверобой,1990,СССР,Андрей Ростоцкий,Андрей Хворов,Павел Абдалов,7.569
Игры страсти,2010,США,Митч Глейзер,Микки Рурк,Меган Фокс,5.599
Робинзон Крузо,1997,США,Род Харди,Пирс Броснан,Уильям Такаку,6.727
Паршивая овца,2006,Новая,Джонатан Кинг,Мэттью Чемберлен,Ник Фентон,4.981
Я плюю на ваши могилы,1978,США,Мейр Зарки,Камилль Китон,Эрон Табор,5.782
Любовь без правил,2016,Россия,Дмитрий Астрахан,Виктор Васильев,Анна Горшкова,4.103
Садист,2001,США,Ларри Кларк,Брэд Ренфро,Бижу Филлипс,6.542
Дом вверх дном,2003,США,Адам Шенкман,Стив Мартин,Куин Латифа,6.245
"Блокада: Фильм 1: Лужский рубеж, Пулковский меридиан",1974,СССР,Михаил Ершов,Юрий Соломин,Евгений Лебедев,7.747
Ужин с убийством,1976,США,Роберт Мур,Айлин Бреннан,Трумэн Капоте,7.259
Добейся успеха: Борись до конца!,2009,США,Билле Вудрафф,Кристина Милиан,Ванесса Борн,6.514
Больше чем жизнь,1996,США,Ховард Франклин,Билл Мюррей,Тай,7.151
Прятки,2019,США,Джоэль Мур,Джонатан Риз Майерс,Джо Пантольяно,5.389
Исполнитель желаний 2: Зло бессмертно,1998,США,Джек Шолдер,Эндрю Дивофф,Пол Йоханссон,5.712
Веселые истории,1962,СССР,Вениамин Дорман,Михаил Кисляров,Александр Кекиш,8.172
Менее привычная жизнь,1997,Великобритания,Дэнни Бойл,Юэн Макгрегор,Кэмерон Диас,6.714
Ниндзя 2,2013,Таиланд,Айзек Флорентайн,Скотт Эдкинс,Кейн Косуги,6.181
"Там, где бродит бизон",1980,США,Арт Линсон,Питер Бойл,Билл Мюррей,7.249
Жестокость,2007,Россия,Марина Любакова,Рената Литвинова,Анна Бегунова,7.064
Мой ангел,2016,Франция,Гарри Клевен,Ханна Бодро,Майя Дори,6.196
Происшествие в стране Мульти-Пульти,2022,Россия,Михаил Миронов,Евгений Цыганов,Тимофей Трибунцев,7.299
Благочестивая Марта,1980,СССР,Ян Фрид,Маргарита Терехова,Эммануил Виторган,7.758
Твин Пикс: Вырезанные сцены,2014,Франция,Дэвид Линч,Шерил Ли,Рэй Уайз,7.358
Малыш Кид,2018,США,Винсент Д’Онофрио,Джейк Шур,Лейла Джордж,5.715
Железнодорожный романс,2002,Россия,Иван Соловов,Егор Бероев,Ольга Будина,7.202
Одержимость,2006,Австралия,Энн Тернер,Сьюзен Сарандон,Сэм Нил,6.521
Изгоняющий дьявола: Начало,2004,США,Ренни Харлин,Стеллан Скарсгард,Изабелла Скорупко,5.6
Украина в огне,2016,США,Игорь Лопатенок,Арина Беланова,Евгений Чернов,6.748
Особенности русской бани,1999,Россия,Алексей Рудаков,Виктор Бычков,Вячеслав Кулаков,3.099
Ключ без права передачи,1976,СССР,Динара Асанова,Елена Проклова,Алексей Петренко,7.622
Искатели приключений,1967,Франция,Робер Энрико,Ален Делон,Лино Вентура,7.8
Неуловимые: Бангкок,2016,Россия,Артем Аксененко,Александра Бортич,Иван Шахназаров,3.218
Интим,2000,Франция,Патрис Шеро,Марк Райлэнс,Керри Фокс,5.94
Великая иллюзия,1937,Франция,Жан Ренуар,Жан Габен,Пьер Френе,7.823
Мания,2021,США,Лорен Хэдэуэй,Изабель Фурман,Эми Форсайт,6.244
Барбарелла,1968,Франция,Роже Вадим,Джейн Фонда,Джон Филлип Ло,6.284
Мой друг Зигмунд Фрейд,2018,Австрия,Николаус Лейтнер,Симон Морзе,Бруно Ганц,6.648
В тумане,2012,Россия,Сергей Лозница,Владимир Свирский,Владислав Абашин,6.533
Затаившиеся 3D,2011,Италия,Антуан Томас,Шон Клемент,Симона Солдер,3.264
Поезд дальше не идёт,2008,США,Питер Э. Даулинг,Кип Парду,Винесса Шоу,5.13
Ахиллес и черепаха,2008,Япония,Такеши Китано,Такеши Китано,Канако Хигути,7.565
Жажда смерти,1974,США,Майкл Уиннер,Чарльз Бронсон,Хоуп Лэнг,7.152
Последнее письмо от твоего любимого,2021,Великобритания,Августин Фриззелл,Шейлин Вудли,Джо Элвин,6.834
Телевикторина,1994,США,Роберт Редфорд,Джон Туртурро,Роб Морроу,7.191
Роковая ошибка,2020,США,Тамар Халперн,Джейд Тейлор,Эйдан Бристоу,5.923
Полночный поцелуй,2007,США,Алекс Холдридж,Скут Макнэри,Сара Симмондс,7.311
Капитан Зум: Академия супергероев,2006,США,Питер Хьюит,Тим Аллен,Кортни Кокс,5.091
"То, что ты делаешь",1996,США,Том Хэнкс,Том Эверетт Скотт,Лив Тайлер,7.135
Золотая молодежь,2003,Великобритания,Стивен Фрай,Эмили Мортимер,Стивен Кэмпбелл Мур,6.923
Высшая сила,1973,США,Тед Пост,Клинт Иствуд,Хэл Холбрук,7.259
Бен Гур,2010,Великобритания,Стив Шилл,Джозеф Морган,Стивен Кэмпбелл Мур,7.148
Амнезия,2020,США,Брайан Ульрих,Роберт Палмер Уоткинс,Томас Уилсон Браун,5.561
Мотель,2013,США,Дэвид Гровик,Джон Кьюсак,Ребекка Да Коста,5.259
Карантин Z,2018,Великобритания,Чи Кеонг Чанг,Орис Эруэро,Карлос Гальярдо,4.673
Мегрэ расставляет сети,2016,Великобритания,Эшли Пирс,Роуэн Эткинсон,Лео Стаар,6.7
Queen: Live at Wembley Stadium,1986,Великобритания,Гэвин Тейлор,Фредди Меркьюри,Джон Дикон,8.819
Займемся любовью,1960,США,Джордж Кьюкор,Мэрилин Монро,Ив Монтан,7.425
Снафф 102,2007,Аргентина,Мариано Перальта,Андреа Альфонсо,Хулиан Альфонсо,3.678
Посторонние,2021,США,Адам Салки,Фрида Пинто,Логан Маршалл-Грин,5.538
Человек на проволоке,2007,Великобритания,Джеймс Марш,Филипп Пети,Жан Франсуа Экель,7.635
Крестоносец,1995,Россия,Александр Иншаков,Александр Иншаков,Ольга Кабо,5.656
"Майская ночь, или Утопленница",1952,СССР,Александр Роу,Николай Досенко,Татьяна Конюхова,7.536
Штормовое предупреждение,2007,Австралия,Джэми Блэнкс,Надя Фарес,Роберт Тейлор,5.696
Гонзо: Страх и ненависть Хантера С. Томпсона,2008,США,Алекс Гибни,Хантер С. Томпсон,Джонни Депп,7.705
Новая жизнь,2020,Россия,Мария Ефремова,Андрей Носков,Мария Ефремова,6.027
Цифровая радиостанция,2012,Великобритания,Каспер Барфоэд,Джон Кьюсак,Малин Акерман,5.751
Марадона,2008,Испания,Эмир Кустурица,Диего Марадона,Эмир Кустурица,7.156
Моди,2016,Канада,Эшлин Уолш,Салли Хокинс,Захари Беннетт,7.638
Мать против андроидов,2021,США,Маттсон Томлин,Хлоя Грейс Морец,Элджи Смит,5.162
Металлистка,2013,Исландия,Рагнар Брагасон,Тора Бьорг Хельга,Ингвар Эггерт Сигюрдссон,6.88
Мажоры на каникулах,2015,США,Крис МакКой,Николас Браун,Зои Дойч,5.77
Каждый вечер в одиннадцать,1969,СССР,Самсон Самсонов,Маргарита Володина,Михаил Ножкин,7.839
Клетка для пташек,1996,США,Майк Николс,Робин Уильямс,Нэйтан Лейн,7.166
Нарковойна,2012,Китай,Джонни То,Сунь Хунлэй,Луис Ку,6.675
Алиса,1987,Чехословакия,Ян Шванкмайер,Кристина Кохоутова,Камилла Пауэр,7.611
Zero,2022,Казахстан,Талгад Жаныбеков,Баглан Абдраимов,Олжас Абай,6.48
"Глухарь. Приходи, Новый год!",2009,Россия,Юрий Попович,Максим Аверин,Александр Фурсенко,6.746
Агент по кличке Спот,2001,США,Джон Уайтселл,Дэвид Аркетт,Майкл Кларк Дункан,6.84
Опасный попутчик,2014,США,Трей Нельсон,Джош Дюамель,Джош Уиггинс,6.246
Анна Каренина. История Вронского,2017,Россия,Карен Шахназаров,Елизавета Боярская,Максим Матвеев,5.632
За Маркса...,2012,Россия,Светлана Баскова,Сергей Пахомов,Владимир Епифанцев,6.725
Белый тигр,2020,Индия,Рамин Бахрани,Адарш Гурав,Раджкумар Рао,7.125
Отпетые мошенники,2008,Франция,Эрик Беснард,Жан Дюжарден,Жан Рено,6.696
Игра без правил,2010,США,Даг Лайман,Наоми Уоттс,Шон Пенн,6.58
Мать,2009,Корея,Пон Джун-хо,Ким Хе-джа,Вон Бин,7.376
Мамы 3,2014,Россия,Георгий Малков,Ольга Волкова,Мария Сёмкина,5.2
Ботан и супербаба,2022,Россия,Дмитрий Меняйло,София Каштанова,Роман Попов,4.836
Эксперимент «Повиновение»,2012,США,Крэйг Зобел,Энн Дауд,Мэтт Сервитто,6.027
Псы-воины,2001,Великобритания,Нил Маршалл,Шон Пертуи,Кевин МакКидд,6.703
Между делом,2015,Германия,Кен Скотт,Винс Вон,Том Уилкинсон,5.222
Аэронавты,2019,Великобритания,Том Харпер,Эдди Редмэйн,Фелисити Джонс,6.605
Деликатесы,1990,Франция,Марк Каро,Паскаль Бенезек,Доминик Пинон,7.222
Ватиканские записи,2015,США,Марк Невелдайн,Оливия Тейлор Дадли,Джон Патрик Амедори,4.459
"Ты – мне, я – тебе",1976,СССР,Александр Серый,Леонид Куравлёв,Татьяна Пельтцер,7.071
Полицейские,1997,США,Джеймс Мэнголд,Сильвестр Сталлоне,Харви Кейтель,6.89
Бобби,2006,США,Эмилио Эстевес,Энтони Хопкинс,Шайа ЛаБаф,7.095
Атака титанов. Фильм второй: Конец света,2015,Япония,Синдзи Хигути,Харума Миура,Хироки Хасэгава,4.842
Открытые окна,2014,Испания,Начо Вигалондо,Элайджа Вуд,Саша Грэй,5.309
Вид на убийство,1985,Великобритания,Джон Глен,Роджер Мур,Кристофер Уокен,6.803
Драконы навсегда,1988,Гонконг,Саммо Хун,Джеки Чан,Саммо Хун,7.704
Приличные люди,2015,Россия,Клим Поплавский,Сергей Шнуров,Евгений Сморигин,4.529
Деревня проклятых,1995,США,Джон Карпентер,Кристофер Рив,Кёрсти Элли,6.247
Рабство,2007,Германия,Марко Кройцпайнтнер,Кевин Клайн,Сесар Рамос,7.441
33,2014,Чили,Патрисия Ригген,Антонио Бандерас,Родриго Санторо,6.739
Нирвана,2008,Россия,Игорь Волошин,Артур Смольянинов,Ольга Сутулова,6.679
Гарри и Хендерсоны,1987,США,Уильям Дир,Джон Литгоу,Мелинда Диллон,6.838
Битва у Красной скалы,2008,Китай,Джон Ву,Тони Люн Чу Вай,Такеши Канеширо,7.455
Студия 54,1998,США,Марк Кристофер,Райан Филипп,Сальма Хайек,7.005
Новая рождественская сказка,1988,США,Ричард Доннер,Билл Мюррей,Карен Аллен,6.955
Потерянный рейс,2006,США,Пол Гринграсс,Кристиан Клименсон,Шайен Джексон,7.223
Только для твоих глаз,1981,Великобритания,Джон Глен,Роджер Мур,Кароль Буке,6.961
Полуночный ковбой,1969,США,Джон Шлезингер,Дастин Хоффман,Джон Войт,7.732
Стрела возмездия,2022,Австралия,Джон В. Сото,Джиллиан Алекси,Люк Форд,6.095
Человек из Торонто,2022,США,Патрик Хьюз,Кевин Харт,Вуди Харрельсон,6.098
Мясники,2020,Канада,Адриан Лэнгли,Саймон Филлипс,Майкл Суоттон,5.123
Бешенство,2019,Испания,Хосе Луис Монтесинос,Паула дель Рио,Мигель Анхель Хеннер,5.596
Citizenfour: Правда Сноудена,2014,Великобритания,Лора Пойтрас,Эдвард Сноуден,Гленн Гринвальд,7.252
Мы всегда жили в замке,2017,США,Стэйси Пассон,Таисса Фармига,Александра Даддарио,5.638
"4 месяца, 3 недели и 2 дня",2007,Румыния,Кристиан Мунджиу,Анамария Маринка,Лаура Василиу,7.192
Кикуджиро,1999,Япония,Такеши Китано,Такеши Китано,Юскэ Сэкигучи,7.782
Преступник,2012,Великобритания,Рон Скальпелло,Джо Коул,Инглиш Фрэнк,6.701
Искры из глаз,1987,Великобритания,Джон Глен,Тимоти Далтон,Мэриам д’Або,6.764
Свора,2006,Германия,Николас Мастандреа,Мишель Родригес,Оливер Хадсон,5.907
Заговорщица,2010,США,Роберт Редфорд,Джеймс МакЭвой,Робин Райт,6.99
Тэмми,2014,США,Бен Фэлкоун,Мелисса Маккарти,Сьюзен Сарандон,5.233
Московская жара,2004,Россия,Джефф Челентано,Майкл Йорк,Александр Невский,1.551
Певица на всю голову,2020,Австралия,Бен Луин,Кристина Беннингтон,Даниэль Макдональд,7.203
Страсти Жанны д'Арк,1928,Франция,Карл Теодор Дрейер,Мария Фальконетти,Эжен Сильвен,8.017
Совершенно секретно!,1984,Великобритания,Джим Абрахамс,Омар Шариф,Джереми Кемп,7.326
Джон Вуд. Последняя кровь,2021,Швеция,Фансу Нжие,Дэниэл Стисен,Ольга Кент,4.928
Солнечные каникулы,2001,США,Стив Пурселл,Мэри-Кейт Олсен,Эшли Олсен,6.266
