title,year,country,director,actor_1,actor_2,ratingKP
Идеальный шторм,2000,США,Вольфганг Петерсен,Джордж Клуни,Марк Уолберг,7.343
База «Клейтон»,2003,США,Джон МакТирнан,Джон Траволта,Сэмюэл Л. Джексон,7.345
Крокодил Данди,1986,Австралия,Питер Фэймен,Пол Хоган,Линда Козловски,7.158
Виновный,2017,Дания,Густав Мёллер,Якоб Седергрен,Джессика Диннаж,6.923
Розовая пантера,2006,США,Шон Леви,Стив Мартин,Кевин Клайн,6.308
Мой ангел-хранитель,2009,США,Ник Кассаветис,Кэмерон Диас,Эбигейл Бреслин,7.891
"Дорогая, я уменьшил детей",1989,США,Джо Джонстон,Рик Морэнис,Мэтт Фрюэр,6.953
Параграф 78: Фильм первый,2007,Россия,Михаил Хлебородов,Гоша Куценко,Владимир Вдовиченков,4.675
25-й час,2002,США,Спайк Ли,Эдвард Нортон,Филип Сеймур Хоффман,7.551
Омен,2006,США,Джон Мур,Лив Шрайбер,Джулия Стайлз,6.11
Радиоволна,2000,США,Грегори Хоблит,Деннис Куэйд,Джеймс Кэвизел,7.825
К-19,2002,Великобритания,Кэтрин Бигелоу,Харрисон Форд,Лиам Нисон,7.542
Человек-амфибия,1961,СССР,Владимир Чеботарев,Владимир Коренев,Анастасия Вертинская,7.64
Маленькая Вера,1988,СССР,Василий Пичул,Наталья Негода,Андрей Соколов,7.158
Королевская битва,2000,Япония,Киндзи Фукасаку,Тацуя Фудзивара,Такеши Китано,7.48
Честный вор,2020,США,Марк Уильямс,Лиам Нисон,Кейт Уолш,6.02
Выжившая,2017,Франция,Корали Фаржеа,Матильда Анна Ингрид Лутс,Кевин Янссенс,5.81
Сказка о потерянном времени,1964,СССР,Александр Птушко,Олег Анофриев,Гриша Плоткин,7.842
Субмарина,2010,Великобритания,Ричард Айоади,Ноа Тейлор,Пэдди Консидайн,7.408
Успеть за 30 минут,2011,США,Рубен Фляйшер,Джесси Айзенберг,Азиз Ансари,6.199
Самый лучший фильм 3-ДЭ,2011,Россия,Кирилл Кузин,Гарик Харламов,Петр Винс,2.987
«Старый» Новый год,2011,США,Гэрри Маршалл,Холли Берри,Джессика Бил,6.855
Вампирский засос,2010,США,Джейсон Фридберг,Дженн Проске,Мэтт Лантер,4.118
Ведьмина гора,2009,США,Энди Фикмен,Дуэйн Джонсон,Аннасофия Робб,6.047
Безумцы,2010,США,Брек Эйснер,Тимоти Олифант,Рада Митчелл,6.45
Кофе и сигареты,2003,США,Джим Джармуш,Роберто Бениньи,Стивен Райт,7.535
Щегол,2019,США,Джон Краули,Энсел Элгорт,Оакс Фигли,6.527
Вивариум,2019,Ирландия,Лоркан Финнеган,Имоджен Путс,Джесси Айзенберг,6.089
Яга. Кошмар тёмного леса,2020,Россия,Святослав Подгаевский,Олег Чугунов,Глафира Голубева,5.276
История одного вампира,2009,США,Пол Вайц,Джон Си Райли,Кэн Ватанабэ,5.986
Всегда,2011,Корея,Сон Иль-гон,Со Джи-соп,Хан Хё-джу,8.097
Влюблен по собственному желанию,1982,СССР,Сергей Микаэлян,Олег Янковский,Евгения Глушенко,7.963
Сила воли,2016,Канада,Стивен Хопкинс,Стефан Джеймс,Джейсон Судейкис,7.33
Родня,1981,СССР,Никита Михалков,Нонна Мордюкова,Светлана Крючкова,7.968
Этот неловкий момент,2015,Франция,Жан-Франсуа Рише,Венсан Кассель,Франсуа Клюзе,6.283
Эбигейл,2019,Россия,Александр Богуславский,Тинатин Далакишвили,Эдди Марсан,5.365
